0-15,9,CA,1,17,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,17,CA,Possession Lost,,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,0
0-15,2,RM,1,8,9,Play Disrupted,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,8,CM,1,17,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,17,CM,1,18,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,18,CM,1,70,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,7,RM,1,8,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,3
0-15,8,CM,1,3,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,3,LD,1,14,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,14,RD,1,12,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,12,RD,1,30,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,30,CD,1,3,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,3,LD,1,7,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,7,LM,1,3,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,3
0-15,3,LD,1,8,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,8,LM,1,7,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,7,LM,0,18,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
0-15,8,CM,1,9,2,Play Disrupted,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,1
0-15,9,LM,0,22,,,,,,,,,,,,,,,,,,,,,30,7,3,14,12,8,2,17,18,22,9,GK,LB,CB,CB,RB,DCM,DCM,LM,CAM,RM,F,2
